Feature,Importance
12_num_moves,10
34_velocity_max,10
44_flips_x,10
46_pause_time,10
0_acceleration_min,10
17_velocity_min,10
18_acceleration_mean,10
19_velocity_min,10
16_angular_velocity_mean,10
17_velocity_y_mean,10
49_velocity_mean,10
15_angular_velocity_sd,10
49_flips_x,10
15_jerk_sd,10
45_movement_distance,9
24_velocity_min,9
12_acceleration_min,9
24_movement_distance,9
9_acceleration_max,9
32_angular_velocity_sd,9
24_num_moves,9
2_movement_distance,9
33_velocity_sd,9
33_acceleration_min,9
33_jerk_sd,9
47_acceleration_min,9
23_acceleration_mean,9
40_flips_x,9
16_jerk_mean,9
34_velocity_y_mean,9
5_movement_duration,9
19_acceleration_mean,9
22_movement_duration,9
5_angular_velocity_sd,9
15_jerk_mean,9
44_velocity_y_mean,9
33_angular_velocity_sd,9
42_velocity_max,9
49_angular_velocity_mean,9
6_velocity_max,9
27_acceleration_max,9
27_acceleration_mean,9
46_jerk_mean,9
46_acceleration_min,9
28_velocity_max,9
28_velocity_min,9
6_acceleration_min,9
10_angular_velocity_sd,9
6_velocity_min,9
39_angular_velocity_sd,9
29_velocity_y_mean,9
29_acceleration_min,9
39_velocity_sd,9
29_angular_velocity_mean,9
6_acceleration_sd,9
17_jerk_sd,9
2_acceleration_max,9
30_velocity_mean,9
30_velocity_y_mean,9
17_acceleration_max,9
31_velocity_x_mean,9
18_total_time,9
31_angular_velocity_sd,9
9_pause_time,9
35_velocity_sd,9
4_jerk_mean,9
21_jerk_sd,9
48_jerk_mean,9
21_jerk_mean,9
0_velocity_sd,9
14_acceleration_max,9
8_velocity_min,9
37_movement_distance,9
35_flips_x,9
41_jerk_mean,9
1_movement_duration,9
0_velocity_max,9
8_velocity_max,9
5_angular_velocity_mean,9
38_velocity_y_mean,9
7_velocity_y_mean,9
35_movement_duration,9
43_movement_duration,9
20_movement_duration,9
4_velocity_sd,9
21_angular_velocity_sd,9
1_jerk_sd,9
48_movement_duration,8
30_jerk_mean,8
30_velocity_sd,8
3_movement_distance,8
25_velocity_sd,8
30_velocity_max,8
35_acceleration_min,8
36_flips_x,8
6_movement_distance,8
25_movement_duration,8
14_angular_velocity_sd,8
2_velocity_sd,8
2_velocity_mean,8
40_acceleration_max,8
41_velocity_sd,8
36_total_time,8
21_click_x_mean,8
31_acceleration_mean,8
20_angular_velocity_sd,8
25_pause_time,8
17_jerk_mean,8
27_acceleration_min,8
11_velocity_mean,8
11_acceleration_mean,8
11_acceleration_min,8
27_click_x_mean,8
18_velocity_max,8
49_acceleration_sd,8
28_acceleration_min,8
10_flips_x,8
39_movement_duration,8
26_flips_x,8
42_jerk_mean,8
37_acceleration_min,8
37_acceleration_mean,8
26_acceleration_min,8
17_movement_duration,8
20_acceleration_max,8
7_movement_duration,8
40_movement_distance,8
43_pause_time,8
10_acceleration_min,8
47_click_x_mean,8
10_acceleration_max,8
4_velocity_max,8
44_num_moves,8
4_acceleration_max,8
42_acceleration_min,8
23_movement_duration,8
23_jerk_sd,8
33_angular_velocity_mean,8
43_acceleration_mean,8
33_pause_time,8
16_movement_distance,8
41_movement_duration,8
13_jerk_mean,8
21_pause_time,8
23_click_x_mean,8
44_jerk_mean,8
47_flips_y,8
16_velocity_min,8
34_acceleration_max,8
34_acceleration_min,8
48_movement_distance,8
19_jerk_sd,8
34_jerk_mean,8
22_jerk_mean,8
16_acceleration_max,8
43_jerk_sd,8
35_jerk_sd,8
8_acceleration_min,8
33_acceleration_max,8
20_num_moves,8
32_total_time,8
41_velocity_max,8
12_acceleration_max,8
0_acceleration_max,8
7_movement_distance,8
35_pause_time,7
10_movement_duration,7
46_velocity_mean,7
46_velocity_max,7
36_velocity_sd,7
39_click_x_mean,7
37_jerk_sd,7
17_flips_x,7
35_acceleration_mean,7
42_velocity_sd,7
30_acceleration_max,7
16_acceleration_min,7
3_angular_velocity_mean,7
37_angular_velocity_mean,7
9_jerk_sd,7
8_movement_duration,7
43_angular_velocity_sd,7
27_pause_time,7
35_movement_distance,7
49_flips_y,7
32_acceleration_mean,7
